player_name,matches,innings_batted,runs_scored,balls_faced,strike_rate,average,fours,sixes,overs_bowled,balls_bowled,runs_conceded,wickets,economy,bowling_average
Harbhajan Singh,3,2,4,4,100.0,4,0,0,7,45,63,0,8.4,0
Liton Das,1,1,4,4,100.0,4.0,1,0,0,0,0,0,0,0
A Tomar,1,1,4,8,50.0,4.0,1,0,0,0,0,0,0,0
RK Bhui,2,2,3,9,33.33,1.5,0,0,0,0,0,0,0,0
Fazalhaq Farooqi,7,2,3,13,23.08,3,0,0,26,162,229,6,8.48,38.17
Kumar Kushagra,3,3,3,7,42.86,1.0,0,0,0,0,0,0,0,0
RJW Topley,5,1,3,6,50.0,3,0,0,17,107,182,5,10.21,36.4
WD Parnell,7,1,2,6,33.33,2.0,0,0,26,157,237,9,9.06,26.33
Shivam Singh,1,1,2,3,66.67,2,0,0,0,0,0,0,0,0
BR Sharath,1,1,2,5,40.0,2.0,0,0,0,0,0,0,0,0
I Sharma,20,3,2,9,22.22,2,0,0,64,411,574,21,8.38,27.33
MM Sharma,25,3,2,17,11.76,1.0,0,0,84,513,790,40,9.24,19.75
GHS Garton,5,2,2,4,50.0,2.0,0,0,15,97,136,3,8.41,45.33
Harshit Rana,19,3,2,3,66.67,1.0,0,0,65,403,590,25,8.78,23.6
DL Chahar,33,2,2,3,66.67,2,0,0,113,700,957,32,8.2,29.91
A Kamboj,3,1,2,2,100.0,2,0,0,10,68,115,2,10.15,57.5
RJ Gleeson,2,1,2,2,100.0,2,0,0,8,51,72,1,8.47,72.0
T Shamsi,1,1,2,4,50.0,2,0,0,4,24,34,0,8.5,0
PJ Sangwan,3,1,2,6,33.33,2.0,0,0,9,56,66,3,7.07,22.0
Abdul Basith,1,1,1,1,100.0,1,0,0,0,0,0,0,0,0
Mohit Rathee,1,1,1,2,50.0,1,0,0,2,12,29,0,14.5,0
MJ Suthar,1,1,1,2,50.0,1.0,0,0,2,12,26,0,13.0,0
KK Ahmed,40,3,1,4,25.0,0.33,0,0,150,946,1342,47,8.51,28.55
SZ Mulani,2,1,1,1,100.0,1,0,0,5,33,57,0,10.36,0
